Country-City,Date,Temperature,Timestamp
"New Caledonia, New Caledonia, Noumea",วันอาทิตย์ 20:11,27 °C,30/3/2025
"New Zealand, Auckland*",วันอาทิตย์ 22:11,17 °C,30/3/2025
"New Zealand, Wellington*",วันอาทิตย์ 22:11,16 °C,30/3/2025
"Niger, Niamey",วันอาทิตย์ 10:11,31 °C,30/3/2025
"Nigeria, Lagos, Lagos",วันอาทิตย์ 10:11,29 °C,30/3/2025
"Niue, Alofi",วันเสาร์ 22:11,26 °C,30/3/2025
"North Korea, Pyongyang",วันอาทิตย์ 18:11,5 °C,30/3/2025
"North Macedonia, Skopje*",วันอาทิตย์ 11:11,14 °C,30/3/2025
"Norway, Svalbard, Longyearbyen*",วันอาทิตย์ 11:11,-14 °C,30/3/2025
"Norway, Oslo*",วันอาทิตย์ 11:11,3 °C,30/3/2025
"Norway, Tromsø*",วันอาทิตย์ 11:11,0 °C,30/3/2025
"Oman, Muscat",วันอาทิตย์ 13:11,26 °C,30/3/2025
"Pakistan, Islamabad",วันอาทิตย์ 14:11,26 °C,30/3/2025
"Pakistan, Sindh, Karachi",วันอาทิตย์ 14:11,36 °C,30/3/2025
"Pakistan, Lahore",วันอาทิตย์ 14:11,30 °C,30/3/2025
"Palau, Ngerulmud",วันอาทิตย์ 18:11,30 °C,30/3/2025
"Panama, Panama",วันอาทิตย์ 04:11,26 °C,30/3/2025
"Papua New Guinea, Port Moresby",วันอาทิตย์ 19:11,30 °C,30/3/2025
"Paraguay, Asuncion",วันอาทิตย์ 06:11,22 °C,30/3/2025
"Peru, Lima, Lima",วันอาทิตย์ 04:11,21 °C,30/3/2025
"Philippines, Manila",วันอาทิตย์ 17:11,31 °C,30/3/2025
"Poland, Warsaw*",วันอาทิตย์ 11:11,12 °C,30/3/2025
"Portugal, Azores, Ponta Delgada*",วันอาทิตย์ 09:11,14 °C,30/3/2025
"Portugal, Lisbon, Lisbon*",วันอาทิตย์ 10:11,15 °C,30/3/2025
"Puerto Rico, San Juan",วันอาทิตย์ 05:11,23 °C,30/3/2025
"Qatar, Doha",วันอาทิตย์ 12:11,29 °C,30/3/2025
"Réunion (French), Saint-Denis",วันอาทิตย์ 13:11,28 °C,30/3/2025
"Romania, Bucharest*",วันอาทิตย์ 12:11,13 °C,30/3/2025
"Russia, Belushya Guba",วันอาทิตย์ 12:11,-3 °C,30/3/2025
"Russia, Ufa",วันอาทิตย์ 14:11,10 °C,30/3/2025
"Russia, Chelyabinsk",วันอาทิตย์ 14:11,12 °C,30/3/2025
"Russia, Anadyr",วันอาทิตย์ 21:11,1 °C,30/3/2025
"Russia, Pevek",วันอาทิตย์ 21:11,-6 °C,30/3/2025
"Russia, Irkutsk",วันอาทิตย์ 17:11,8 °C,30/3/2025
"Russia, Kaliningrad",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Russia, Petropavlovsk-Kamchatsky",วันอาทิตย์ 21:11,1 °C,30/3/2025
"Russia, Komsomolsk-on-Amur",วันอาทิตย์ 19:11,-3 °C,30/3/2025
"Russia, Khatanga",วันอาทิตย์ 16:11,-10 °C,30/3/2025
"Russia, Krasnoyarsk",วันอาทิตย์ 16:11,7 °C,30/3/2025
"Russia, Norilsk",วันอาทิตย์ 16:11,2 °C,30/3/2025
"Russia, Magadan",วันอาทิตย์ 20:11,-6 °C,30/3/2025
"Russia, Moscow",วันอาทิตย์ 12:11,9 °C,30/3/2025
"Russia, Murmansk",วันอาทิตย์ 12:11,0 °C,30/3/2025
"Russia, Novgorod",วันอาทิตย์ 12:11,8 °C,30/3/2025
"Russia, Novosibirsk",วันอาทิตย์ 16:11,9 °C,30/3/2025
"Russia, Omsk",วันอาทิตย์ 15:11,7 °C,30/3/2025
"Russia, Perm",วันอาทิตย์ 14:11,11 °C,30/3/2025
"Russia, Vladivostok",วันอาทิตย์ 19:11,-2 °C,30/3/2025
"Russia, Saint-Petersburg",วันอาทิตย์ 12:11,13 °C,30/3/2025
"Russia, Tiksi",วันอาทิตย์ 18:11,-24 °C,30/3/2025
"Russia, Verkhoyansk",วันอาทิตย์ 19:11,-11 °C,30/3/2025
"Russia, Yakutsk",วันอาทิตย์ 18:11,-7 °C,30/3/2025
"Russia, Yuzhno-Sakhalinsk",วันอาทิตย์ 20:11,-1 °C,30/3/2025
"Russia, Samara",วันอาทิตย์ 13:11,12 °C,30/3/2025
"Russia, Yekaterinburg",วันอาทิตย์ 14:11,10 °C,30/3/2025
"Russia, Kazan",วันอาทิตย์ 12:11,11 °C,30/3/2025
"Russia, Izhevsk",วันอาทิตย์ 13:11,6 °C,30/3/2025
"Russia, Chita",วันอาทิตย์ 18:11,4 °C,30/3/2025
"Rwanda, Kigali",วันอาทิตย์ 11:11,24 °C,30/3/2025
"Saint Helena, Jamestown",วันอาทิตย์ 09:11,20 °C,30/3/2025
"Saint Kitts and Nevis, Basseterre",วันอาทิตย์ 05:11,24 °C,30/3/2025
"Saint Lucia, Castries",วันอาทิตย์ 05:11,26 °C,30/3/2025
"Saint Vincent and Grenadines, Kingstown",วันอาทิตย์ 05:11,27 °C,30/3/2025
"Samoa, Apia",วันอาทิตย์ 22:11,27 °C,30/3/2025
"San Marino, San Marino*",วันอาทิตย์ 11:11,15 °C,30/3/2025
"Saudi Arabia, Makkah",วันอาทิตย์ 12:11,35 °C,30/3/2025
"Saudi Arabia, Medina",วันอาทิตย์ 12:11,24 °C,30/3/2025
"Saudi Arabia, Riyadh",วันอาทิตย์ 12:11,30 °C,30/3/2025
"Senegal, Dakar",วันอาทิตย์ 09:11,19 °C,30/3/2025
"Serbia, Belgrade*",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Seychelles, Victoria",วันอาทิตย์ 13:11,28 °C,30/3/2025
"Sierra Leone, Freetown",วันอาทิตย์ 09:11,26 °C,30/3/2025
"Singapore, Singapore",วันอาทิตย์ 17:11,28 °C,30/3/2025
"Slovakia, Bratislava*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"Slovenia, Ljubljana*",วันอาทิตย์ 11:11,8 °C,30/3/2025
"Solomon Islands, Honiara",วันอาทิตย์ 20:11,31 °C,30/3/2025
"South Africa, Cape Town",วันอาทิตย์ 11:11,21 °C,30/3/2025
"South Africa, Johannesburg",วันอาทิตย์ 11:11,16 °C,30/3/2025
"South Africa, Marion Island (Prince Edward Islands)",วันอาทิตย์ 12:11,11 °C,30/3/2025
"South Africa, Pretoria",วันอาทิตย์ 11:11,26 °C,30/3/2025
"South Korea, Seoul",วันอาทิตย์ 18:11,8 °C,30/3/2025
"Spain, Barcelona, Barcelona*",วันอาทิตย์ 11:11,13 °C,30/3/2025
"Spain, Madrid, Madrid*",วันอาทิตย์ 11:11,8 °C,30/3/2025
"Spain, Majorca, Palma*",วันอาทิตย์ 11:11,16 °C,30/3/2025
"Sri Lanka, Colombo",วันอาทิตย์ 14:41,31 °C,30/3/2025
"Sri Lanka, Sri Jayawardenepura Kotte",วันอาทิตย์ 14:41,31 °C,30/3/2025
"Sweden, Stockholm*",วันอาทิตย์ 11:11,5 °C,30/3/2025
"Switzerland, Bern, Bern*",วันอาทิตย์ 11:11,8 °C,30/3/2025
"Switzerland, Geneva, Geneva*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"Switzerland, Zurich, Zürich*",วันอาทิตย์ 11:11,8 °C,30/3/2025
"Syria, Damascus",วันอาทิตย์ 12:11,16 °C,30/3/2025
"Taiwan, Taipei",วันอาทิตย์ 17:11,14 °C,30/3/2025
"Tajikistan, Dushanbe",วันอาทิตย์ 14:11,17 °C,30/3/2025
"Tanzania, Dar es Salaam",วันอาทิตย์ 12:11,26 °C,30/3/2025
"Tanzania, Dodoma",วันอาทิตย์ 12:11,21 °C,30/3/2025
"Thailand, Bangkok",วันอาทิตย์ 16:11,27 °C,30/3/2025
"Togo, Lomé",วันอาทิตย์ 09:11,31 °C,30/3/2025
"Tonga, Nuku'alofa",วันอาทิตย์ 22:11,25 °C,30/3/2025
"Trinidad and Tobago, Port of Spain",วันอาทิตย์ 05:11,23 °C,30/3/2025
"Tunisia, Tunis",วันอาทิตย์ 10:11,13 °C,30/3/2025
"Turkey, Ankara",วันอาทิตย์ 12:11,15 °C,30/3/2025
